,School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,Buyout,Rank,Games Won,Games Lost,Games Tied,Games Played,Win_Percent,Fuzzy_Score_Record,match_name_Record,School_Record,Stadium,City,State_x,Capacity,Record1,Built,Expanded,Surface,Conference_Stadium,Capacity_Thousands,Fuzzy_Score_Stadium,match_name_Stadium,School_Stadium,State_y,GSR,FGR,Conference_GradFB,Fuzzy_Score_GradFB,match_name_GradFB,School_FBgrad,Total Revenue,Total Expenses,Total Allocated,FinancialRank,Percent_Allocated,Conference_Finance,Fuzzy_Score_finance,match_name_finance,School_finance
47,Kentucky,SEC,Mark Stoops,4000000,4013600,3100000,300000,"$15,625,000 ",38t,8,5,0,13,0.61538,100,Kentucky,Kentucky,Kroger Field at C.M. Newton Grounds,Lexington,KY,61000,71024,1973,2015,Artificial Turf,SEC,61,100,Kentucky,Kentucky,KY,55,39,SEC,100,Kentucky,Kentucky,130706744,125333866,0,17,0,SEC,100,Kentucky,Kentucky
48,Liberty,Ind.,Turner Gill,947281,947281,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Louisiana Tech,C-USA,Skip Holtz,700000,700000,395000,0,"$2,508,333 ",106,3,10,0,13,0.23077,100,Louisiana Tech,Louisiana Tech,Joe Aillet Stadium,Ruston,LA,28109,28714,1968,2017,FieldTurf,C-USA,28.109,100,Louisiana Tech,Louisiana Tech,,,,,,,,24722695,23828481,10687030,125,43.23,C-USA,100,Louisiana Tech,Louisiana Tech
50,Louisiana-Lafayette,Sun Belt,Billy Napier,850000,850000,435000,--,"$2,671,875 ",60t,6,6,0,12,0.5,100,Louisiana-Lafayette,Louisiana-Lafayette,,,,,,,,,,,,,,LA,61,53,Sun Belt,88,Louisiana-Lafayette,Louisiana at Lafayette,28326919,27408419,12800374,109,45.19,Sun Belt,100,Louisiana-Lafayette,Louisiana-Lafayette
51,Louisiana-Monroe,Sun Belt,Matt Viator,390000,390000,50000,0,"$175,000 ",81t,4,8,0,12,0.33333,100,Louisiana-Monroe,Louisiana-Monroe,JPS Field at Malone Stadium,Monroe,LA,30427,31175,1978,1993,FieldTurf,Sun Belt,30.427,100,Louisiana-Monroe,Louisiana-Monroe,LA,66,52,Sun Belt,86,Louisiana-Monroe,Louisiana at Monroe,16132421,15481778,7213515,164,44.71,Sun Belt,100,Louisiana-Monroe,Louisiana-Monroe
52,Louisville,ACC,Bobby Petrino,3980434,3980434,1472917,869917,"$14,056,250 ",3t,12,1,0,13,0.92308,100,Louisville,Louisville,Cardinal Stadium(37),Louisville,KY,61000,55632,1998,2018,FieldTurf,ACC,61,100,Louisville,Louisville,,,,,,,,120445303,118383769,5383718,22,4.47,ACC,100,Louisville,Louisville
53,LSU,SEC,Ed Orgeron,3500000,3500000,1575000,100000,"$5,291,667 ",,,,,,,,,,Tiger Stadium,Baton Rouge,LA,102321,102321,1924,2014,Grass,SEC,102.321,100,LSU,LSU,,,,,,,,147744233,131717421,0,9,0,SEC,100,LSU,LSU
54,Marshall,C-USA,Doc Holliday,762570,762570,145000,55000,"$1,951,708 ",72t,5,7,0,12,0.41667,100,Marshall,Marshall,Joan C. Edwards Stadium,Huntington,WV,38019,41382,1991,2000,FieldTurf,C-USA,38.019,100,Marshall,Marshall,WV,76,65,C-USA,100,Marshall,Marshall,29287471,30342248,14345674,104,48.98,C-USA,100,Marshall,Marshall
55,Maryland,Big Ten,DJ Durkin,2512000,2512000,625000,0,"$5,096,178 ",26t,9,4,0,13,0.69231,100,Maryland,Maryland,Capital One Field at Maryland Stadium,College Park,MD,51802,58973,1950,2009,FieldTurf,Big Ten,51.802,100,Maryland,Maryland,,,,,,,,94881357,94796897,14473659,37,15.25,Big Ten,100,Maryland,Maryland
56,Massachusetts,Ind.,Mark Whipple,500000,500000,305000,20000,"$300,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
